,Id,2D Oriented Bounds: Short Side,2D Oriented Bounds: Long Side,2D Oriented Bounds: Area,2D Oriented Bounds: Side Ratio,2D Oriented Bounds: Angle,Bounding Rectangle: X1,Bounding Rectangle: Y1,Bounding Rectangle: X2,Bounding Rectangle: Y2,Bounding Rectangle: Width,Bounding Rectangle: Height,Bounding Rectangle (Pixel): X1,Bounding Rectangle (Pixel): Y1,Bounding Rectangle (Pixel): X2,Bounding Rectangle (Pixel): Y2,Bounding Rectangle (Pixel): Width,Bounding Rectangle (Pixel): Height,Center of Mass (Bounding box): X,Center of Mass (Bounding box): Y,Center of Mass (Bounding box): Z,Center of Mass (Bounding box): X (px),Center of Mass (Bounding box): Y (px),Center of Mass (Bounding box): Z (px),Center of Mass (Geometry): X,Center of Mass (Geometry): Y,Center of Mass (Geometry): Z,Center of Mass (Geometry): X (px),Center of Mass (Geometry): Y (px),Center of Mass (Geometry): Z (px),Frame: First,Frame: Last,Frame: Count,Frame: Start Time,Frame: End Time,Frame: Middle Time,Name,Plane: First,Plane: Last,Plane: Count,Projected Geometry,Projection (XY/Z): Area,Projection (XY/Z): Circumference,Projection (XY/Z): Roundness,Surface Area: Surface Area,Tags,Type,Center of Mass (Ch 1): X,Center of Mass (Ch 1): Y,Center of Mass (Ch 1): Z,Center of Mass (Ch 1): X (px),Center of Mass (Ch 1): Y (px),Center of Mass (Ch 1): Z (px),Intensities (Ch 1): Min,Intensities (Ch 1): Max,Intensities (Ch 1): Mean,Intensities (Ch 1): Sum,Intensities (Ch 1): SD,Intensities (Ch 1): SNR (Mean/SD),Sphericity: Sphericity,Volume: Volume
0,1,3.25e-06,8e-06,2.6e-11,2.46153846154,90.0,0.000819,0.0026,0.00082225,0.002608,3.25e-06,8e-06,252,325,253,326,1,1,0.000820625,0.002604,0.00104325,237.5,325.5,342.0,0.000820625,0.002604,0.00104325,252.5,325.5,322.0,1,1,1,0,0,0,Segment #1 (Blob Finder),322,322,1,"[""253, 325"",""252, 325"",""252, 326"",""253, 326"",""253, 326""]",2.6e-11,2.25e-05,0.645383972293,1.25125e-10,Blob Finder,Segment,0.000819,0.0026,0.0010465,252.0,325.0,323.0,1926.046875,1926.046875,1926.046875,1926.046875,0.0,0.0,0.744236856012,8.45e-17
1,2,6.5e-06,1.6e-05,1.04e-10,2.46153846154,-90.0,0.0007215,0.002672,0.000728,0.002688,6.5e-06,1.6e-05,222,334,224,336,2,2,0.00072475,0.00268,0.001064375,208.0,335.0,348.5,0.000725725,0.0026808,0.00106405,223.3,335.1,328.4,1,1,1,0,0,0,Segment #2 (Blob Finder),328,329,2,"[""222, 336"",""222, 335"",""223, 335"",""223, 334"",""224, 334"",""224, 336"",""224, 336""]",7.8e-11,4.5e-05,0.48403797922,4.27375e-10,Blob Finder,Segment,0.000724132882484,0.00267707470985,0.00106728867386,222.81,334.63,329.4,2201.14013672,2822.18164062,2533.73583984,12668.6791992,272.13717961,9.31050966089,0.637127209763,4.225e-16
2,3,9.75e-06,1.6e-05,1.56e-10,1.64102564103,-90.0,0.00078,0.002792,0.00078975,0.002808,9.75e-06,1.6e-05,240,349,243,351,3,2,0.000784875,0.0028,0.00110175,226.5,350.0,360.0,0.000784410714286,0.00280171428571,0.00110221428571,241.36,350.21,340.14,1,1,1,0,0,0,Segment #3 (Blob Finder),338,342,5,"[""240, 351"",""240, 350"",""241, 350"",""241, 349"",""243, 349"",""243, 351"",""243, 351""]",1.3e-10,5.15e-05,0.615940495755,8.8725e-10,Blob Finder,Segment,0.000782403762996,0.00279820215032,0.00110564719226,240.74,349.78,341.2,1556.18994141,4998.85742188,2588.34755162,36236.8657227,912.261505403,2.83728682652,0.609669701892,1.183e-15
3,4,1.625e-05,3.2e-05,5.2e-10,1.96923076923,-90.0,0.0007735,0.002808,0.00078975,0.00284,1.625e-05,3.2e-05,238,351,243,355,5,4,0.000781625,0.002824,0.001105,225.5,353.0,361.0,0.000781447727273,0.00282654545455,0.00110565,240.45,353.32,341.2,1,1,1,0,0,0,Segment #4 (Blob Finder),338,344,7,"[""238, 355"",""238, 353"",""239, 353"",""239, 351"",""242, 351"",""242, 352"",""243, 352"",""243, 355"",""243, 355""]",4.42e-10,9.65e-05,0.596454757072,2.2945e-09,Blob Finder,Segment,0.000779870122281,0.00282261565421,0.00110897346083,239.96,352.83,342.22,1163.27734375,4222.07666016,2743.35995206,150884.797363,731.163843128,3.75204542435,0.586960660471,4.6475e-15
4,5,6.5e-06,1.6e-05,1.04e-10,2.46153846154,-90.0,0.0005265,0.002648,0.000533,0.002664,6.5e-06,1.6e-05,162,331,164,333,2,2,0.00052975,0.002656,0.0011635,148.0,332.0,379.0,0.000530833333333,0.00265733333333,0.00116295833333,163.33,332.17,358.83,1,1,1,0,0,0,Segment #5 (Blob Finder),358,360,3,"[""162, 333"",""162, 332"",""163, 332"",""163, 331"",""164, 331"",""164, 333"",""164, 333""]",7.8e-11,4.5e-05,0.48403797922,5.005e-10,Blob Finder,Segment,0.000529223303429,0.00265355269182,0.00116644494669,162.84,331.69,359.91,1756.14160156,3128.1875,2450.39314779,14702.3588867,473.893918041,5.17076302207,0.614353988625,5.07e-16
5,6,9.75e-06,2.4e-05,2.34e-10,2.46153846154,-90.0,0.00080275,0.0028,0.0008125,0.002824,9.75e-06,2.4e-05,247,350,250,353,3,3,0.000807625,0.002812,0.001183,233.5,351.5,385.0,0.00080925,0.002816,0.001183,249.0,352.0,365.0,1,1,1,0,0,0,Segment #6 (Blob Finder),364,366,3,"[""247, 353"",""247, 352"",""248, 352"",""248, 351"",""249, 351"",""249, 350"",""250, 350"",""250, 353"",""250, 353""]",1.56e-10,6.75e-05,0.430255981529,8.23875e-10,Blob Finder,Segment,0.000807476946691,0.00281259959338,0.00118657816595,248.45,351.57,366.1,1220.09667969,3181.89599609,2365.46781413,28385.6137695,514.332167734,4.59910533022,0.592445088145,1.014e-15
6,7,1.95e-05,6.4e-05,1.248e-09,3.28205128205,-90.0,0.00077025,0.002824,0.00078975,0.002888,1.95e-05,6.4e-05,237,353,243,361,6,8,0.00078,0.002856,0.00129025,225.0,357.0,418.0,0.000780856818182,0.00285985454545,0.00129022045455,240.26,357.48,397.99,1,1,1,0,0,0,Segment #7 (Blob Finder),395,401,7,"[""238, 361"",""238, 359"",""237, 359"",""237, 357"",""238, 357"",""238, 356"",""239, 356"",""239, 355"",""240, 355"",""240, 354"",""241, 354"",""241, 353"",""242, 353"",""242, 354"",""243, 354"",""243, 360"",""242, 360"",""242, 361"",""242, 361""]",8.84e-10,0.000167,0.398317315899,3.98125e-09,Blob Finder,Segment,0.000779767517301,0.00285647749783,0.00129353679029,239.93,357.06,399.01,-141.426757812,9107.453125,3554.48638583,390993.502441,1796.34933202,1.97872781339,0.536987616936,9.295e-15
7,8,9.75e-06,1.6e-05,1.56e-10,1.64102564103,-90.0,0.000585,0.00284,0.00059475,0.002856,9.75e-06,1.6e-05,180,355,183,357,3,2,0.000589875,0.002848,0.001373125,166.5,356.0,443.5,0.0005906875,0.00284933333333,0.001373125,181.75,356.17,423.5,1,1,1,0,0,0,Segment #8 (Blob Finder),422,425,4,"[""180, 357"",""180, 356"",""181, 356"",""181, 355"",""183, 355"",""183, 357"",""183, 357""]",1.3e-10,5.15e-05,0.615940495755,7.41e-10,Blob Finder,Segment,0.000588473123512,0.00284620812968,0.00137573487048,181.07,355.78,424.3,991.516113281,3929.52685547,2459.26497396,29511.1796875,990.433362511,2.48301911774,0.658705394056,1.014e-15
8,9,3.25e-06,1.6e-05,5.2e-11,4.92307692308,90.0,0.00082225,0.002864,0.0008255,0.00288,3.25e-06,1.6e-05,253,358,254,360,1,2,0.000823875,0.002872,0.001460875,238.5,359.0,470.5,0.000823875,0.00287333333333,0.00146141666667,253.5,359.17,450.67,1,1,1,0,0,0,Segment #9 (Blob Finder),450,451,2,"[""253, 360"",""253, 358"",""254, 358"",""254, 360"",""254, 360""]",5.2e-11,3.85e-05,0.440850917151,3.0225e-10,Blob Finder,Segment,0.00082225,0.00286908658361,0.00146487333833,253.0,358.64,451.73,1724.05566406,2339.80517578,2130.4991862,6391.49755859,352.042995032,6.0518153074,0.640869776573,2.535e-16
9,10,6.5e-06,1.6e-05,1.04e-10,2.46153846154,90.0,0.00070525,0.002832,0.00071175,0.002848,6.5e-06,1.6e-05,217,354,219,356,2,2,0.0007085,0.00284,0.0014625,203.0,355.0,471.0,0.0007085,0.00284,0.0014625,218.0,355.0,451.0,1,1,1,0,0,0,Segment #10 (Blob Finder),450,452,3,"[""217, 356"",""217, 354"",""219, 354"",""219, 356"",""219, 356""]",1.04e-10,4.5e-05,0.645383972293,5.005e-10,Blob Finder,Segment,0.000706396315231,0.00283674052233,0.00146554648288,217.35,354.59,451.94,1937.47802734,6427.6015625,3562.51082357,21375.0649414,1579.14694357,2.25597170552,0.614353988625,5.07e-16
